FlightID,TimeDeparture,LengthOfFlight,Airline,DayOfWeek,IsDelayed,TicketPrice
1,650,313,DL,1,0,130
3,515,285,DL,3,0,133
3,515,285,DL,4,0,131
6,1184,161,FL,3,0,133
6,1184,161,FL,7,0,134
7,775,159,FL,3,0,134
7,775,159,FL,4,0,135
9,700,159,FL,5,1,135
9,1230,91,DL,4,1,135
10,1135,96,DL,7,1,134
10,1135,98,DL,7,1,132
11,965,88,DL,6,1,133
11,965,88,DL,5,1,135
12,697,193,FL,5,0,133
12,697,193,FL,4,0,133
12,697,193,FL,3,0,132
12,870,95,DL,6,0,134
12,870,96,DL,7,0,134
14,487,223,DL,3,0,131
14,487,223,DL,1,0,132
14,665,118,DL,1,0,130
14,964,195,FL,6,0,130
17,1136,303,DL,1,1,135
18,645,250,FL,5,0,133
18,645,250,FL,6,0,135
18,825,112,DL,3,1,133
18,845,111,DL,7,0,134
18,845,109,DL,5,0,130
19,635,127,DL,3,0,132
20,945,115,FL,3,0,132
22,705,280,DL,4,1,132
24,810,93,DL,1,0,133
25,824,117,FL,5,0,133
25,824,117,FL,4,1,134
25,886,106,FL,7,1,134
25,886,106,FL,5,0,130
25,975,83,DL,2,1,133
25,975,83,DL,3,1,132
26,740,117,FL,3,0,135
26,990,134,DL,7,1,132
27,655,125,DL,7,0,135
27,655,125,DL,6,0,131
27,655,125,DL,7,0,131
27,655,125,DL,4,0,131
27,711,109,FL,7,1,130
29,367,125,FL,4,0,131
30,525,112,FL,5,0,135
30,535,112,FL,1,0,132
30,615,164,DL,4,0,131
30,615,164,DL,5,0,132
31,1020,392,DL,4,1,130
31,1120,115,FL,3,0,133
31,1120,115,FL,3,0,131
38,791,111,FL,4,0,133
38,791,111,FL,2,0,131
38,791,111,FL,2,0,131
43,1042,118,FL,3,1,134
43,1042,118,FL,5,0,135
43,1042,118,FL,2,0,130
43,1042,118,FL,1,0,131
45,740,99,DL,3,1,133
45,740,99,DL,6,0,133
46,735,176,DL,6,0,133
49,985,95,DL,6,1,134
49,985,99,DL,5,1,135
49,985,99,DL,6,0,132
50,861,249,FL,7,1,135
51,1157,320,FL,4,1,130
51,1157,320,FL,5,0,131
51,1157,320,FL,4,1,132
54,1125,123,DL,5,1,133
54,1125,125,DL,7,1,133
54,1125,123,DL,3,1,130
56,717,238,FL,6,1,133
58,1385,250,FL,5,1,135
58,1435,250,FL,5,1,132
59,676,320,FL,1,0,135
60,420,250,FL,7,0,131
60,420,250,FL,2,0,131
60,420,250,FL,7,0,131
62,525,102,FL,1,0,132
64,736,232,DL,1,0,132
65,1147,279,DL,2,1,132
65,1178,117,FL,7,0,134
65,1178,117,FL,3,0,130
67,921,115,FL,5,0,135
67,990,90,DL,3,1,130
