FlightID,TimeDeparture,LengthOfFlight,Airline,DayOfWeek,IsDelayed,TicketPrice
1,650,310,DL,3,0,31
1,650,310,DL,5,0,32
1,650,310,DL,5,0,32
1,650,310,DL,3,0,34
1,650,313,DL,7,0,34
1,650,313,DL,7,0,40
3,510,279,DL,4,1,38
3,510,279,DL,3,0,40
5,850,96,DL,6,1,34
5,850,96,DL,7,0,38
6,1184,161,FL,3,1,32
6,1184,161,FL,5,0,38
8,485,197,FL,3,0,40
8,485,197,FL,1,0,40
8,420,197,FL,1,1,41
8,958,124,DL,6,0,41
9,1230,91,DL,5,0,32
9,700,159,FL,4,0,36
9,1230,92,DL,3,1,37
10,1135,98,DL,5,1,30
10,1135,98,DL,4,0,35
10,1135,98,DL,3,1,36
10,1135,96,DL,4,1,37
10,1135,98,DL,4,1,38
11,1120,199,FL,7,0,36
11,960,91,DL,3,0,38
12,870,96,DL,2,0,37
14,487,223,DL,4,0,34
14,988,195,FL,4,1,36
14,964,195,FL,3,0,37
14,964,195,FL,5,0,40
14,988,195,FL,3,0,40
15,975,109,DL,1,1,37
15,975,109,DL,3,1,38
16,470,246,DL,2,1,31
16,470,246,DL,3,1,38
16,470,251,DL,6,1,40
16,470,252,DL,3,0,41
17,1136,304,DL,2,1,37
17,1136,303,DL,7,1,38
18,825,112,DL,5,1,31
18,825,112,DL,1,1,34
18,825,112,DL,4,0,37
18,825,112,DL,4,1,37
18,681,249,FL,3,1,38
18,681,249,FL,6,0,38
18,845,111,DL,4,1,39
18,825,112,DL,7,0,40
19,635,127,DL,1,0,33
19,645,128,DL,7,0,37
19,1039,261,FL,5,0,39
19,1039,261,FL,5,1,40
19,1039,261,FL,2,0,40
19,645,128,DL,2,0,41
20,945,115,FL,5,0,34
22,615,116,FL,5,0,30
22,701,284,DL,6,1,30
22,705,280,DL,3,0,34
22,701,284,DL,3,1,39
22,701,284,DL,1,1,39
24,810,93,DL,1,1,32
24,810,93,DL,5,0,33
25,975,83,DL,6,1,36
25,975,83,DL,2,0,40
26,740,114,FL,4,0,32
26,824,130,DL,1,0,39
27,655,125,DL,1,0,35
27,655,125,DL,5,0,35
27,711,109,FL,1,0,35
27,711,109,FL,7,0,35
27,655,125,DL,4,0,36
27,655,125,DL,3,0,38
28,1345,118,FL,3,1,32
28,750,100,DL,2,0,33
28,1345,118,FL,4,1,34
28,750,97,DL,3,1,35
28,750,100,DL,2,1,38
28,750,97,DL,5,1,39
28,1340,118,FL,6,1,40
29,395,125,FL,6,1,35
29,400,116,FL,3,0,36
30,615,164,DL,3,1,30
30,615,164,DL,3,1,31
30,525,112,FL,2,0,32
30,535,112,FL,2,1,32
30,535,112,FL,3,1,35
30,615,164,DL,5,0,36
30,525,112,FL,5,0,40
31,1020,392,DL,1,0,30
31,1120,115,FL,5,0,30
31,1120,115,FL,4,0,33
31,1020,392,DL,2,0,35
31,1020,392,DL,3,0,39
31,1020,392,DL,2,1,41
31,1120,115,FL,1,1,41
34,786,113,FL,1,0,36
36,1113,106,FL,2,0,36
36,1113,106,FL,6,1,37
36,1110,113,FL,3,0,41
38,864,114,FL,2,0,31
38,791,111,FL,5,0,35
39,879,112,FL,1,1,33
39,879,112,FL,4,0,37
41,1170,244,DL,5,0,30
41,315,115,FL,7,1,31
41,1170,244,DL,4,1,34
43,1042,118,FL,5,1,37
43,1042,118,FL,3,1,41
45,720,95,DL,5,0,31
45,740,99,DL,4,0,31
45,720,95,DL,3,1,33
45,720,95,DL,2,0,36
45,740,99,DL,6,1,41
46,735,178,DL,7,0,30
46,735,178,DL,4,1,40
46,735,178,DL,7,1,41
47,1140,155,DL,7,0,39
49,985,95,DL,1,1,30
49,985,95,DL,3,1,32
49,985,95,DL,4,1,40
49,985,95,DL,6,1,41
51,1199,320,FL,5,1,33
51,1199,320,FL,4,0,36
51,1199,320,FL,6,0,40
54,1125,122,DL,7,1,32
54,1125,123,DL,4,1,34
54,1125,130,DL,4,1,41
55,445,109,DL,3,0,32
55,445,109,DL,2,0,35
55,455,105,DL,1,0,38
55,525,320,FL,6,0,39
55,445,109,DL,3,1,40
55,540,315,FL,4,1,41
56,717,238,FL,1,1,38
56,717,238,FL,7,1,40
56,717,238,FL,2,1,41
58,1385,250,FL,1,1,34
58,1435,250,FL,3,1,41
59,676,320,FL,7,1,33
60,420,250,FL,5,0,30
60,420,250,FL,7,0,31
60,420,250,FL,3,0,33
61,1330,320,FL,3,1,31
61,1005,170,DL,5,1,33
61,1005,170,DL,4,1,33
61,1335,320,FL,6,1,36
61,1330,320,FL,4,1,39
61,1330,320,FL,1,1,41
62,525,102,FL,7,0,34
63,667,115,FL,2,0,33
63,667,115,FL,1,0,34
63,662,115,FL,7,0,35
63,662,115,FL,3,0,39
63,662,115,FL,6,0,40
64,788,98,FL,4,0,33
64,736,232,DL,2,0,38
64,788,98,FL,4,0,38
64,742,232,DL,3,0,39
64,736,232,DL,1,0,40
64,771,99,FL,7,0,40
64,742,232,DL,5,0,41
65,1178,117,FL,5,0,32
65,1178,117,FL,4,0,36
65,1150,280,DL,2,1,37
65,1150,280,DL,3,1,38
66,807,99,DL,4,1,30
66,807,99,DL,6,0,41
67,990,88,DL,4,1,39
67,990,90,DL,1,0,40
67,990,90,DL,5,1,41
68,1043,100,FL,5,0,32
68,1043,100,FL,3,1,35
68,1043,100,FL,3,0,36
68,892,122,DL,1,1,39
69,370,119,FL,3,0,32
69,370,119,FL,4,0,34
69,370,119,FL,4,0,37
69,1045,115,DL,2,0,38
70,1180,115,FL,3,0,31
70,1180,115,FL,5,0,33
70,1181,114,FL,5,0,38
70,1181,114,FL,1,1,41
71,865,110,FL,3,1,36
71,865,110,FL,2,0,38
71,865,110,FL,1,1,40
72,448,120,FL,1,0,31
72,745,145,DL,5,0,33
72,460,120,FL,7,0,35
72,460,120,FL,4,0,38
72,460,120,FL,1,0,40
72,460,120,FL,5,0,40
72,745,145,DL,1,0,40
73,1155,175,DL,6,1,33
73,766,114,FL,2,0,35
73,769,110,FL,5,0,37
73,770,96,FL,3,0,39
74,777,112,FL,5,0,34
74,777,117,FL,7,0,34
74,777,117,FL,3,0,38
74,758,117,FL,1,0,39
74,777,117,FL,2,0,40
75,1030,110,FL,5,0,34
75,1030,110,FL,2,1,39
76,1015,116,FL,3,1,36
76,1015,116,FL,5,0,36
77,540,108,FL,4,1,31
77,540,108,FL,1,1,31
77,540,108,FL,1,0,35
77,540,108,FL,5,1,39
77,545,108,FL,4,0,39
78,805,160,DL,2,0,33
78,805,160,DL,6,1,40
78,1098,122,FL,6,0,40
78,805,160,DL,3,1,41
78,840,165,DL,2,0,41
79,985,187,DL,3,0,33
79,990,193,DL,6,0,33
79,990,189,DL,7,0,36
79,1325,105,FL,3,1,38
79,1325,105,FL,3,1,40
80,703,118,FL,2,1,35
80,688,117,FL,4,1,39
80,703,118,FL,4,0,39
80,480,159,DL,6,0,40
80,688,117,FL,6,1,40
81,934,111,FL,7,1,32
81,941,111,FL,4,0,34
81,934,111,FL,1,0,35
81,941,111,FL,4,0,40
82,846,119,FL,4,0,32
82,665,276,DL,5,0,33
82,857,116,FL,5,0,34
82,665,276,DL,7,0,37
83,620,117,FL,5,0,33
83,625,112,FL,6,0,33
83,610,117,FL,5,0,38
84,360,113,FL,5,0,30
84,360,120,FL,3,0,34
84,1045,150,DL,6,1,34
84,1050,158,DL,1,0,36
84,360,120,FL,1,0,38
84,1045,150,DL,3,0,41
85,1016,116,FL,2,1,35
85,1016,116,FL,4,0,37
87,1265,110,FL,2,1,39
88,1199,101,FL,2,0,41
90,1199,87,FL,7,1,31
90,1199,87,FL,3,0,35
90,1199,87,FL,7,0,36
90,1210,85,FL,5,0,39
91,1330,77,FL,7,1,35
92,653,86,FL,3,0,32
92,653,86,FL,7,0,33
92,653,86,FL,6,0,33
92,645,86,FL,1,0,40
